,grapheme,phoneme,count,relative_freq,relative_freq_log,softmax
189,ss,ʃ,69,0.008121468926553672,0.008088667276500172,0.009081682613927756
190,si,ʒ,194,0.388,0.3278638620846127,0.3638205524839011
191,si,ʃ,49,0.005767419962335217,0.005750852067971184,0.006456862602409119
192,ea,ɛ,701,0.027216959155148313,0.026853163898216365,0.03571397899935737
193,ea,i,1772,0.055345597651247774,0.05386829399726617,0.058959241431870715
194,ea,ə,268,0.0030460083651573013,0.0030413786806663063,0.0033955436824339193
195,ea,ɪ,276,0.005802829930828585,0.005786058363648823,0.007300366494971685
196,ea,eɪ,95,0.007419556388628554,0.007392166875382447,0.008680986032407993
197,ea,æ,10,0.0004905808477237048,0.0004904605522812071,0.0007022920546887962
198,eu,u,190,0.026768103691180614,0.026416105733352513,0.030412800659594064
199,eu,ə,93,0.0010570103655210038,0.0010564521234083977,0.0011794747415824565
200,eu,aɪ,1,8.762705923589205e-05,8.76232202093291e-05,0.00010445870738098194
201,zz,z,202,0.007742133302671419,0.0077123167853855165,0.009943857817571195
202,sc,s,314,0.006657620218810958,0.00663555614068433,0.008349005887627643
203,sc,ʃ,184,0.021657250470809793,0.021426064172675677,0.02405646169267115
204,re,r,1254,0.017435555184783517,0.01728529990104563,0.024053950919106677
205,the,θ,33,0.011587078651685394,0.011520462552662106,0.016419393731776356
206,the,ð,52,0.0811232449297972,0.07800054226923317,0.10688804947169545
207,ci,ʃ,259,0.030484934086629,0.030029501238232045,0.0337161104515322
208,me,m,603,0.022672582343209506,0.022419379380022354,0.030620284186925115
209,cc,k,277,0.007328817864324267,0.007302092575757516,0.00841005417684508
210,cc,s,4,8.481044864727334e-05,8.480685244450579e-05,0.00010670588800071933
211,nt,n,755,0.01299998278147976,0.012916208268994096,0.017370252723286763
212,ssi,ʃ,179,0.02106873822975518,0.02084986133333988,0.023409520592337512
213,ssi,ʒ,2,0.004,0.003992021269537457,0.004429824545395559
214,mm,m,922,0.0346668671980749,0.034079507465416325,0.04654563294786635
215,gl,l,179,0.0040060874625128685,0.0039980844608305385,0.005219775359384166
216,ue,u,251,0.03536207382361228,0.0347511953224294,0.04000896978123703
